,Resp,G1,G2,B1,B2
1,1.00,3.00,4.00,4.00,3.00
2,1.00,2.00,2.00,3.00,3.00
3,1.00,3.00,5.00,4.00,2.00
4,0.00,1.00,1.00,1.00,4.00
5,0.00,2.00,3.00,1.00,2.00
6,1.00,1.00,1.00,3.00,3.00
7,0.00,1.00,4.00,3.00,4.00
8,1.00,1.00,5.00,5.00,2.00
9,1.00,2.00,2.00,3.00,3.00
10,1.00,2.00,3.00,3.00,2.00
11,0.00,2.00,5.00,4.00,4.00
12,0.00,4.00,5.00,1.00,3.00
13,0.00,4.00,4.00,4.00,5.00
14,0.00,3.00,4.00,2.00,4.00
15,0.00,1.00,5.00,1.00,2.00
16,0.00,2.00,3.00,4.00,5.00
17,0.00,3.00,4.00,3.00,5.00
18,0.00,2.00,2.00,2.00,2.00
19,1.00,4.00,5.00,3.00,1.00
20,0.00,3.00,4.00,2.00,3.00
21,1.00,2.00,4.00,3.00,1.00
22,0.00,1.00,4.00,2.00,3.00
23,1.00,1.00,2.00,3.00,2.00
24,0.00,2.00,2.00,1.00,5.00
25,1.00,3.00,3.00,5.00,5.00
26,1.00,1.00,2.00,2.00,1.00
27,1.00,2.00,5.00,3.00,1.00
28,1.00,1.00,3.00,4.00,1.00
29,1.00,2.00,3.00,4.00,3.00
30,0.00,1.00,5.00,2.00,2.00
31,1.00,2.00,5.00,2.00,1.00
32,1.00,1.00,2.00,4.00,3.00
33,0.00,1.00,1.00,2.00,4.00
34,0.00,3.00,4.00,4.00,5.00
35,1.00,4.00,5.00,3.00,3.00
36,1.00,1.00,4.00,3.00,1.00
37,0.00,2.00,3.00,3.00,4.00
38,1.00,2.00,3.00,4.00,2.00
39,0.00,2.00,5.00,3.00,3.00
40,0.00,1.00,3.00,1.00,1.00
41,0.00,1.00,5.00,3.00,5.00
42,0.00,1.00,1.00,2.00,4.00
43,0.00,2.00,3.00,1.00,4.00
44,0.00,1.00,4.00,1.00,3.00
45,0.00,1.00,4.00,2.00,2.00
46,0.00,3.00,5.00,3.00,4.00
47,1.00,2.00,4.00,5.00,4.00
48,0.00,5.00,5.00,1.00,3.00
49,0.00,2.00,4.00,2.00,3.00
50,1.00,3.00,4.00,5.00,3.00
51,0.00,4.00,5.00,2.00,3.00
52,1.00,1.00,3.00,5.00,2.00
53,0.00,3.00,4.00,2.00,5.00
54,0.00,3.00,5.00,2.00,5.00
55,0.00,4.00,5.00,4.00,4.00
56,0.00,2.00,2.00,2.00,4.00
57,0.00,3.00,5.00,5.00,5.00
58,1.00,1.00,4.00,3.00,2.00
59,0.00,1.00,4.00,4.00,4.00
60,0.00,3.00,4.00,2.00,4.00
61,1.00,3.00,5.00,3.00,1.00
62,0.00,5.00,5.00,3.00,3.00
63,0.00,1.00,5.00,4.00,5.00
64,0.00,1.00,1.00,2.00,4.00
65,0.00,2.00,4.00,4.00,5.00
66,0.00,3.00,5.00,2.00,5.00
67,0.00,1.00,5.00,4.00,4.00
68,0.00,2.00,2.00,2.00,4.00
69,0.00,1.00,2.00,1.00,1.00
70,0.00,2.00,4.00,1.00,4.00
71,0.00,4.00,4.00,3.00,4.00
72,0.00,5.00,5.00,1.00,1.00
73,1.00,3.00,4.00,2.00,2.00
74,0.00,1.00,5.00,2.00,5.00
75,0.00,4.00,5.00,1.00,5.00
76,1.00,2.00,3.00,4.00,2.00
77,0.00,3.00,5.00,2.00,4.00
78,0.00,1.00,4.00,2.00,4.00
79,0.00,1.00,3.00,5.00,5.00
80,0.00,1.00,3.00,3.00,5.00
81,0.00,3.00,3.00,1.00,5.00
82,1.00,1.00,5.00,4.00,2.00
83,1.00,3.00,5.00,4.00,2.00
84,1.00,4.00,5.00,3.00,1.00
85,0.00,2.00,4.00,1.00,2.00
86,0.00,1.00,3.00,1.00,4.00
87,0.00,1.00,1.00,2.00,3.00
88,0.00,3.00,3.00,2.00,4.00
89,0.00,3.00,4.00,1.00,4.00
90,0.00,2.00,5.00,2.00,2.00
91,1.00,4.00,5.00,5.00,1.00
92,0.00,1.00,1.00,4.00,5.00
93,1.00,2.00,5.00,5.00,2.00
94,1.00,3.00,5.00,3.00,1.00
95,1.00,1.00,3.00,2.00,2.00
96,0.00,3.00,3.00,2.00,2.00
97,0.00,1.00,3.00,3.00,3.00
98,0.00,2.00,2.00,1.00,5.00
99,0.00,1.00,2.00,2.00,3.00
100,1.00,2.00,5.00,5.00,4.00
101,0.00,3.00,4.00,1.00,3.00
102,0.00,3.00,5.00,1.00,3.00
103,0.00,3.00,5.00,2.00,4.00
104,0.00,5.00,5.00,2.00,3.00
105,1.00,1.00,5.00,5.00,1.00
106,0.00,2.00,5.00,2.00,2.00
107,0.00,4.00,5.00,3.00,4.00
108,0.00,2.00,5.00,3.00,4.00
109,0.00,3.00,4.00,4.00,4.00
110,0.00,5.00,5.00,1.00,3.00
111,0.00,1.00,3.00,1.00,4.00
112,1.00,1.00,4.00,5.00,4.00
113,1.00,2.00,4.00,3.00,2.00
114,0.00,4.00,5.00,3.00,4.00
115,1.00,3.00,4.00,5.00,3.00
116,1.00,1.00,5.00,4.00,4.00
117,1.00,1.00,2.00,2.00,1.00
118,1.00,1.00,3.00,4.00,4.00
119,0.00,3.00,3.00,2.00,4.00
120,1.00,2.00,3.00,4.00,3.00
121,1.00,1.00,4.00,5.00,1.00
122,0.00,3.00,3.00,4.00,4.00
123,0.00,3.00,3.00,1.00,3.00
124,0.00,4.00,5.00,1.00,1.00
125,0.00,4.00,4.00,1.00,2.00
126,0.00,5.00,5.00,2.00,4.00
127,0.00,1.00,5.00,5.00,5.00
128,1.00,3.00,4.00,5.00,3.00
129,1.00,2.00,4.00,5.00,3.00
130,0.00,1.00,3.00,1.00,2.00
131,0.00,5.00,5.00,3.00,5.00
132,0.00,1.00,2.00,2.00,5.00
133,0.00,4.00,4.00,3.00,5.00
134,1.00,1.00,5.00,3.00,1.00
135,1.00,1.00,2.00,5.00,2.00
136,1.00,1.00,3.00,4.00,3.00
137,1.00,2.00,5.00,2.00,1.00
138,1.00,1.00,1.00,5.00,5.00
139,0.00,2.00,4.00,2.00,4.00
140,1.00,3.00,5.00,4.00,2.00
141,1.00,2.00,4.00,1.00,5.00
142,0.00,1.00,1.00,1.00,2.00
143,0.00,3.00,3.00,3.00,5.00
144,0.00,2.00,2.00,3.00,5.00
145,0.00,1.00,4.00,4.00,5.00
146,1.00,3.00,4.00,3.00,2.00
147,0.00,2.00,4.00,4.00,5.00
148,0.00,3.00,3.00,2.00,3.00
149,1.00,1.00,5.00,5.00,4.00
150,0.00,4.00,4.00,1.00,2.00
151,1.00,4.00,5.00,2.00,1.00
152,0.00,2.00,2.00,2.00,4.00
153,1.00,1.00,3.00,4.00,2.00
154,1.00,1.00,5.00,4.00,1.00
155,0.00,2.00,4.00,1.00,5.00
156,0.00,1.00,1.00,1.00,5.00
157,0.00,2.00,5.00,3.00,4.00
158,1.00,2.00,3.00,4.00,2.00
159,0.00,1.00,5.00,1.00,1.00
160,1.00,3.00,4.00,3.00,3.00
161,0.00,2.00,3.00,3.00,3.00
162,0.00,4.00,4.00,3.00,5.00
163,1.00,1.00,2.00,4.00,3.00
164,0.00,1.00,5.00,1.00,3.00
165,0.00,3.00,5.00,1.00,2.00
166,1.00,1.00,3.00,3.00,1.00
167,0.00,1.00,2.00,5.00,5.00
168,0.00,3.00,4.00,1.00,2.00
169,0.00,1.00,4.00,2.00,4.00
170,0.00,2.00,2.00,4.00,4.00
171,0.00,3.00,5.00,2.00,4.00
172,0.00,1.00,5.00,2.00,3.00
173,0.00,4.00,4.00,3.00,3.00
174,0.00,3.00,5.00,4.00,5.00
175,0.00,1.00,3.00,2.00,5.00
176,0.00,1.00,5.00,1.00,3.00
177,1.00,2.00,5.00,5.00,1.00
178,0.00,1.00,5.00,2.00,4.00
179,0.00,4.00,4.00,4.00,4.00
180,1.00,3.00,5.00,3.00,1.00
181,1.00,2.00,5.00,3.00,2.00
182,0.00,5.00,5.00,5.00,5.00
183,1.00,4.00,4.00,1.00,3.00
184,0.00,3.00,4.00,3.00,3.00
185,1.00,2.00,5.00,5.00,2.00
186,0.00,3.00,4.00,3.00,4.00
187,1.00,1.00,3.00,4.00,1.00
188,1.00,3.00,5.00,4.00,1.00
189,0.00,3.00,5.00,1.00,3.00
190,0.00,2.00,2.00,3.00,5.00
191,1.00,1.00,3.00,5.00,1.00
192,0.00,2.00,2.00,3.00,5.00
193,1.00,3.00,4.00,5.00,4.00
194,1.00,2.00,4.00,5.00,4.00
195,0.00,2.00,2.00,1.00,3.00
196,0.00,2.00,4.00,5.00,5.00
197,0.00,2.00,5.00,3.00,4.00
198,1.00,2.00,5.00,5.00,4.00
199,1.00,4.00,5.00,4.00,1.00
200,1.00,4.00,5.00,2.00,5.00
201,0.00,4.00,5.00,1.00,4.00
202,0.00,1.00,2.00,3.00,4.00
203,0.00,2.00,2.00,4.00,5.00
204,0.00,3.00,3.00,3.00,3.00
205,0.00,1.00,3.00,2.00,3.00
206,1.00,3.00,5.00,3.00,2.00
207,0.00,2.00,3.00,1.00,4.00
208,0.00,3.00,3.00,1.00,1.00
209,0.00,2.00,4.00,1.00,1.00
210,1.00,1.00,3.00,5.00,1.00
211,1.00,1.00,5.00,2.00,2.00
212,0.00,2.00,4.00,5.00,5.00
213,0.00,5.00,5.00,3.00,5.00
214,0.00,2.00,5.00,3.00,3.00
215,1.00,2.00,3.00,5.00,5.00
216,1.00,3.00,3.00,2.00,2.00
217,1.00,2.00,2.00,2.00,2.00
218,1.00,2.00,2.00,1.00,1.00
219,1.00,2.00,3.00,5.00,4.00
220,1.00,3.00,5.00,3.00,2.00
221,1.00,4.00,5.00,1.00,1.00
222,0.00,1.00,4.00,4.00,5.00
223,0.00,4.00,4.00,1.00,2.00
224,1.00,5.00,5.00,2.00,2.00
225,1.00,4.00,5.00,5.00,4.00
226,0.00,5.00,5.00,3.00,5.00
227,0.00,2.00,3.00,1.00,5.00
228,1.00,1.00,4.00,2.00,2.00
229,1.00,5.00,5.00,3.00,3.00
230,1.00,4.00,5.00,2.00,1.00
231,0.00,2.00,4.00,4.00,5.00
232,0.00,1.00,4.00,2.00,5.00
233,0.00,2.00,3.00,3.00,3.00
234,0.00,1.00,3.00,3.00,5.00
235,0.00,3.00,5.00,1.00,3.00
236,1.00,1.00,2.00,1.00,1.00
237,1.00,4.00,4.00,3.00,3.00
238,1.00,3.00,5.00,4.00,3.00
239,1.00,2.00,5.00,4.00,1.00
240,1.00,1.00,4.00,5.00,2.00
241,0.00,2.00,2.00,2.00,5.00
242,0.00,1.00,1.00,4.00,5.00
243,0.00,2.00,4.00,1.00,2.00
244,1.00,1.00,5.00,5.00,4.00
245,0.00,2.00,4.00,5.00,4.00
246,1.00,2.00,3.00,2.00,2.00
247,0.00,1.00,3.00,5.00,4.00
248,0.00,2.00,5.00,5.00,5.00
249,1.00,4.00,5.00,3.00,2.00
250,1.00,2.00,5.00,3.00,1.00
251,1.00,2.00,3.00,3.00,1.00
252,0.00,1.00,1.00,1.00,4.00
253,1.00,1.00,2.00,2.00,2.00
254,0.00,4.00,4.00,4.00,5.00
255,0.00,2.00,2.00,1.00,2.00
256,0.00,3.00,5.00,1.00,1.00
257,0.00,2.00,4.00,3.00,5.00
258,0.00,3.00,5.00,4.00,4.00
259,0.00,1.00,4.00,1.00,1.00
260,1.00,1.00,3.00,4.00,2.00
261,1.00,1.00,2.00,3.00,2.00
262,1.00,2.00,3.00,4.00,4.00
263,1.00,4.00,5.00,3.00,2.00
264,0.00,5.00,5.00,4.00,4.00
265,0.00,1.00,4.00,1.00,4.00
266,0.00,1.00,1.00,3.00,4.00
267,0.00,2.00,4.00,1.00,5.00
268,0.00,4.00,5.00,1.00,1.00
269,1.00,2.00,5.00,2.00,1.00
270,0.00,2.00,3.00,2.00,3.00
271,0.00,2.00,5.00,3.00,5.00
272,1.00,4.00,5.00,2.00,1.00
273,0.00,2.00,2.00,2.00,2.00
274,0.00,4.00,5.00,2.00,3.00
275,0.00,1.00,3.00,2.00,3.00
276,0.00,1.00,4.00,3.00,3.00
277,0.00,4.00,4.00,2.00,5.00
278,1.00,1.00,5.00,4.00,1.00
279,1.00,2.00,4.00,2.00,1.00
280,0.00,1.00,1.00,3.00,5.00
281,1.00,1.00,5.00,3.00,2.00
282,0.00,3.00,3.00,4.00,4.00
283,0.00,2.00,4.00,2.00,4.00
284,0.00,1.00,3.00,4.00,5.00
285,0.00,1.00,5.00,4.00,4.00
286,1.00,1.00,2.00,3.00,2.00
287,0.00,1.00,5.00,5.00,5.00
288,1.00,4.00,5.00,3.00,1.00
289,0.00,1.00,5.00,2.00,4.00
290,1.00,1.00,2.00,3.00,1.00
291,0.00,2.00,2.00,1.00,1.00
292,1.00,1.00,2.00,3.00,3.00
293,1.00,3.00,5.00,2.00,1.00
294,0.00,3.00,5.00,1.00,4.00
295,0.00,2.00,5.00,1.00,3.00
296,0.00,2.00,5.00,3.00,3.00
297,0.00,1.00,5.00,1.00,5.00
298,1.00,4.00,5.00,5.00,4.00
299,0.00,2.00,5.00,4.00,5.00
300,1.00,2.00,3.00,3.00,2.00
301,1.00,2.00,5.00,5.00,3.00
302,1.00,4.00,5.00,5.00,3.00
303,0.00,1.00,2.00,4.00,5.00
304,0.00,1.00,3.00,1.00,2.00
305,0.00,2.00,4.00,4.00,4.00
306,0.00,1.00,4.00,1.00,2.00
307,0.00,1.00,4.00,1.00,1.00
308,0.00,4.00,4.00,4.00,5.00
309,1.00,3.00,3.00,3.00,3.00
310,1.00,1.00,5.00,4.00,2.00
311,1.00,4.00,4.00,1.00,1.00
312,1.00,3.00,5.00,5.00,1.00
313,0.00,1.00,1.00,1.00,4.00
314,0.00,5.00,5.00,1.00,3.00
315,0.00,2.00,3.00,1.00,5.00
316,1.00,4.00,4.00,4.00,4.00
317,1.00,3.00,4.00,4.00,3.00
318,0.00,2.00,3.00,1.00,1.00
319,0.00,2.00,4.00,1.00,1.00
320,0.00,1.00,3.00,3.00,5.00
321,0.00,2.00,5.00,4.00,4.00
322,0.00,1.00,4.00,2.00,4.00
323,1.00,2.00,3.00,4.00,1.00
324,1.00,2.00,4.00,4.00,3.00
325,1.00,4.00,4.00,5.00,5.00
326,0.00,4.00,4.00,1.00,1.00
327,0.00,2.00,5.00,5.00,5.00
328,1.00,3.00,5.00,5.00,3.00
329,0.00,5.00,5.00,2.00,2.00
330,1.00,1.00,5.00,5.00,2.00
331,1.00,2.00,3.00,5.00,5.00
332,0.00,5.00,5.00,1.00,4.00
333,1.00,2.00,2.00,3.00,4.00
334,0.00,3.00,3.00,2.00,5.00
335,0.00,5.00,5.00,1.00,5.00
336,0.00,1.00,5.00,2.00,4.00
337,0.00,2.00,5.00,4.00,5.00
338,0.00,4.00,4.00,1.00,4.00
339,1.00,1.00,3.00,5.00,2.00
340,1.00,2.00,3.00,4.00,1.00
341,0.00,2.00,3.00,2.00,2.00
342,1.00,3.00,4.00,4.00,2.00
343,1.00,1.00,3.00,2.00,1.00
344,1.00,2.00,5.00,5.00,3.00
345,0.00,3.00,5.00,4.00,4.00
346,1.00,2.00,3.00,5.00,4.00
347,1.00,1.00,1.00,5.00,5.00
348,1.00,1.00,2.00,4.00,1.00
349,0.00,5.00,5.00,3.00,4.00
350,0.00,1.00,2.00,2.00,2.00
351,0.00,1.00,4.00,3.00,5.00
352,1.00,3.00,4.00,4.00,2.00
353,0.00,2.00,5.00,1.00,1.00
354,0.00,1.00,5.00,4.00,5.00
355,1.00,1.00,3.00,5.00,2.00
356,0.00,1.00,1.00,2.00,5.00
357,0.00,2.00,2.00,2.00,3.00
358,0.00,3.00,3.00,1.00,2.00
359,0.00,3.00,5.00,1.00,5.00
360,0.00,2.00,2.00,2.00,3.00
361,1.00,4.00,5.00,4.00,3.00
362,1.00,2.00,4.00,5.00,1.00
363,1.00,2.00,3.00,3.00,1.00
364,1.00,2.00,5.00,4.00,1.00
365,1.00,2.00,5.00,3.00,2.00
366,0.00,2.00,3.00,4.00,4.00
367,0.00,3.00,5.00,2.00,3.00
368,0.00,2.00,4.00,2.00,3.00
369,0.00,4.00,4.00,2.00,4.00
370,0.00,2.00,5.00,4.00,4.00
371,1.00,1.00,2.00,5.00,1.00
372,0.00,1.00,1.00,3.00,4.00
373,0.00,2.00,3.00,2.00,5.00
374,0.00,4.00,5.00,4.00,5.00
375,1.00,1.00,4.00,4.00,4.00
376,1.00,1.00,4.00,5.00,1.00
377,1.00,1.00,4.00,2.00,1.00
378,0.00,1.00,5.00,2.00,2.00
379,0.00,3.00,4.00,3.00,4.00
380,0.00,1.00,2.00,3.00,5.00
381,0.00,3.00,5.00,3.00,4.00
382,1.00,3.00,4.00,5.00,2.00
383,0.00,2.00,5.00,1.00,2.00
384,0.00,3.00,5.00,4.00,5.00
385,1.00,1.00,2.00,5.00,1.00
386,1.00,1.00,2.00,4.00,2.00
387,0.00,2.00,5.00,2.00,2.00
388,0.00,1.00,4.00,2.00,5.00
389,1.00,1.00,2.00,3.00,3.00
390,0.00,5.00,5.00,1.00,4.00
391,1.00,5.00,5.00,1.00,1.00
392,0.00,1.00,2.00,5.00,5.00
393,0.00,5.00,5.00,1.00,2.00
394,0.00,3.00,3.00,1.00,3.00
395,0.00,2.00,4.00,2.00,4.00
396,1.00,2.00,2.00,5.00,5.00
397,0.00,1.00,4.00,1.00,4.00
398,0.00,1.00,2.00,1.00,3.00
399,0.00,2.00,4.00,3.00,5.00
400,0.00,3.00,5.00,1.00,1.00
401,0.00,2.00,4.00,1.00,1.00
402,1.00,1.00,4.00,5.00,4.00
403,0.00,2.00,4.00,3.00,5.00
404,1.00,2.00,3.00,3.00,2.00
405,0.00,2.00,4.00,5.00,5.00
406,1.00,1.00,3.00,4.00,3.00
407,0.00,3.00,4.00,1.00,4.00
408,1.00,1.00,3.00,3.00,2.00
409,0.00,5.00,5.00,4.00,5.00
410,1.00,2.00,5.00,3.00,2.00
411,0.00,3.00,4.00,3.00,5.00
412,0.00,1.00,5.00,1.00,5.00
413,0.00,2.00,3.00,1.00,4.00
414,1.00,2.00,4.00,5.00,3.00
415,1.00,3.00,4.00,4.00,2.00
416,0.00,3.00,4.00,4.00,5.00
417,0.00,3.00,4.00,1.00,1.00
418,0.00,2.00,3.00,5.00,5.00
419,1.00,2.00,3.00,5.00,4.00
420,0.00,2.00,5.00,1.00,4.00
421,1.00,3.00,4.00,5.00,2.00
422,0.00,5.00,5.00,4.00,5.00
423,0.00,1.00,4.00,1.00,4.00
424,0.00,2.00,3.00,3.00,3.00
425,1.00,4.00,5.00,4.00,5.00
426,0.00,4.00,5.00,1.00,4.00
427,1.00,2.00,5.00,5.00,3.00
428,1.00,3.00,5.00,5.00,1.00
429,1.00,3.00,3.00,3.00,3.00
430,0.00,3.00,3.00,1.00,2.00
431,0.00,2.00,3.00,1.00,5.00
432,1.00,4.00,5.00,3.00,2.00
433,1.00,4.00,5.00,4.00,2.00
434,0.00,5.00,5.00,4.00,4.00
435,1.00,1.00,5.00,5.00,2.00
436,0.00,1.00,1.00,3.00,4.00
437,0.00,4.00,4.00,3.00,5.00
438,0.00,3.00,5.00,1.00,1.00
439,0.00,3.00,3.00,2.00,3.00
440,0.00,1.00,5.00,3.00,3.00
441,1.00,3.00,4.00,4.00,3.00
442,1.00,1.00,5.00,2.00,1.00
443,1.00,1.00,4.00,3.00,1.00
444,0.00,2.00,2.00,2.00,3.00
445,0.00,3.00,3.00,3.00,4.00
446,0.00,3.00,3.00,1.00,3.00
447,1.00,1.00,4.00,2.00,1.00
448,1.00,4.00,5.00,3.00,3.00
449,0.00,1.00,5.00,5.00,4.00
450,0.00,4.00,5.00,1.00,3.00
451,0.00,3.00,3.00,2.00,4.00
452,1.00,2.00,4.00,2.00,1.00
453,0.00,5.00,5.00,3.00,3.00
454,1.00,1.00,5.00,3.00,1.00
455,1.00,3.00,4.00,5.00,5.00
456,0.00,3.00,3.00,5.00,5.00
457,1.00,2.00,5.00,3.00,1.00
458,0.00,4.00,4.00,2.00,4.00
459,0.00,5.00,5.00,2.00,3.00
460,0.00,1.00,2.00,3.00,4.00
461,0.00,2.00,5.00,4.00,5.00
462,0.00,2.00,5.00,1.00,2.00
463,1.00,3.00,4.00,5.00,4.00
464,0.00,4.00,5.00,4.00,4.00
465,1.00,1.00,4.00,3.00,2.00
466,0.00,3.00,4.00,2.00,3.00
467,1.00,4.00,5.00,4.00,2.00
468,0.00,3.00,3.00,1.00,2.00
469,1.00,1.00,3.00,3.00,2.00
470,0.00,1.00,4.00,2.00,3.00
471,1.00,1.00,5.00,3.00,2.00
472,1.00,4.00,5.00,4.00,1.00
473,0.00,1.00,5.00,3.00,5.00
474,0.00,2.00,3.00,3.00,5.00
475,0.00,1.00,5.00,4.00,5.00
476,0.00,2.00,4.00,2.00,5.00
477,1.00,2.00,5.00,5.00,4.00
478,0.00,1.00,4.00,3.00,5.00
479,1.00,2.00,4.00,4.00,1.00
480,1.00,4.00,5.00,5.00,4.00
481,1.00,1.00,2.00,4.00,2.00
482,0.00,2.00,3.00,3.00,5.00
483,0.00,3.00,5.00,3.00,3.00
484,1.00,3.00,4.00,4.00,1.00
485,0.00,1.00,4.00,3.00,5.00
486,1.00,3.00,5.00,5.00,3.00
487,0.00,1.00,1.00,2.00,3.00
488,0.00,1.00,1.00,3.00,5.00
