,Resp,G1,G2,B1,B2
489,0.00,2.00,3.00,1.00,2.00
490,0.00,4.00,4.00,5.00,5.00
491,0.00,3.00,4.00,3.00,5.00
492,1.00,3.00,5.00,4.00,1.00
493,0.00,1.00,2.00,1.00,2.00
494,1.00,1.00,4.00,2.00,2.00
495,0.00,2.00,3.00,2.00,2.00
496,1.00,2.00,5.00,5.00,2.00
497,1.00,1.00,3.00,4.00,1.00
498,0.00,1.00,2.00,2.00,5.00
499,0.00,3.00,4.00,4.00,5.00
500,0.00,3.00,4.00,2.00,5.00
501,0.00,2.00,5.00,2.00,3.00
502,1.00,1.00,2.00,4.00,3.00
503,0.00,1.00,4.00,2.00,3.00
504,1.00,3.00,5.00,4.00,3.00
505,1.00,1.00,1.00,3.00,3.00
506,1.00,3.00,5.00,5.00,2.00
507,1.00,2.00,3.00,5.00,2.00
508,0.00,3.00,3.00,4.00,4.00
509,0.00,4.00,5.00,4.00,5.00
510,0.00,1.00,3.00,1.00,4.00
511,0.00,2.00,2.00,1.00,4.00
512,1.00,2.00,5.00,4.00,1.00
513,1.00,3.00,4.00,3.00,2.00
514,0.00,4.00,4.00,2.00,5.00
515,0.00,2.00,3.00,4.00,4.00
516,0.00,4.00,4.00,2.00,3.00
517,1.00,1.00,3.00,5.00,1.00
518,1.00,1.00,5.00,3.00,1.00
519,0.00,3.00,4.00,4.00,4.00
520,0.00,1.00,3.00,2.00,5.00
521,1.00,1.00,5.00,4.00,2.00
522,0.00,1.00,4.00,1.00,2.00
523,0.00,4.00,5.00,3.00,4.00
524,0.00,2.00,3.00,2.00,5.00
525,0.00,3.00,5.00,2.00,5.00
526,0.00,4.00,5.00,3.00,3.00
527,0.00,1.00,1.00,2.00,5.00
528,1.00,1.00,5.00,4.00,3.00
529,1.00,5.00,5.00,5.00,5.00
530,0.00,1.00,4.00,5.00,5.00
531,0.00,1.00,1.00,2.00,5.00
532,1.00,1.00,4.00,5.00,3.00
533,0.00,1.00,3.00,3.00,3.00
534,0.00,1.00,3.00,2.00,5.00
535,1.00,1.00,5.00,5.00,3.00
536,0.00,1.00,4.00,1.00,3.00
537,0.00,2.00,5.00,5.00,5.00
538,1.00,1.00,4.00,5.00,1.00
539,0.00,2.00,4.00,2.00,3.00
540,0.00,2.00,2.00,2.00,5.00
541,0.00,2.00,2.00,3.00,4.00
542,1.00,1.00,5.00,4.00,3.00
543,0.00,2.00,2.00,3.00,4.00
544,0.00,1.00,2.00,1.00,1.00
545,1.00,1.00,4.00,3.00,3.00
546,0.00,1.00,2.00,1.00,5.00
547,0.00,1.00,3.00,1.00,1.00
548,0.00,1.00,3.00,1.00,3.00
549,1.00,1.00,4.00,5.00,4.00
550,0.00,4.00,5.00,5.00,5.00
551,0.00,4.00,4.00,2.00,5.00
552,1.00,2.00,4.00,5.00,1.00
553,0.00,1.00,5.00,3.00,3.00
554,0.00,1.00,2.00,1.00,5.00
555,0.00,1.00,2.00,4.00,5.00
556,1.00,2.00,4.00,5.00,1.00
557,1.00,2.00,4.00,3.00,1.00
558,0.00,3.00,5.00,1.00,4.00
559,1.00,4.00,5.00,4.00,2.00
560,1.00,4.00,5.00,5.00,5.00
561,1.00,2.00,4.00,5.00,2.00
562,0.00,1.00,2.00,4.00,4.00
563,1.00,2.00,3.00,4.00,3.00
564,1.00,4.00,5.00,4.00,4.00
565,0.00,1.00,2.00,2.00,5.00
566,0.00,2.00,5.00,2.00,4.00
567,1.00,2.00,3.00,2.00,1.00
568,0.00,2.00,3.00,3.00,5.00
569,0.00,1.00,3.00,1.00,1.00
570,0.00,5.00,5.00,5.00,5.00
571,0.00,1.00,3.00,2.00,2.00
572,1.00,4.00,4.00,2.00,2.00
573,1.00,4.00,5.00,5.00,2.00
574,1.00,4.00,5.00,5.00,3.00
575,0.00,3.00,4.00,2.00,5.00
576,0.00,4.00,4.00,1.00,4.00
577,0.00,2.00,2.00,1.00,1.00
578,0.00,3.00,3.00,3.00,5.00
579,0.00,1.00,1.00,5.00,5.00
580,0.00,1.00,3.00,1.00,2.00
581,0.00,2.00,2.00,2.00,5.00
582,0.00,1.00,4.00,2.00,5.00
583,0.00,1.00,3.00,1.00,3.00
584,1.00,2.00,4.00,5.00,3.00
585,0.00,1.00,3.00,2.00,2.00
586,0.00,3.00,5.00,4.00,4.00
587,0.00,3.00,5.00,3.00,4.00
588,0.00,1.00,1.00,2.00,3.00
589,1.00,1.00,3.00,4.00,5.00
590,0.00,1.00,5.00,1.00,5.00
591,1.00,3.00,5.00,5.00,1.00
592,1.00,3.00,3.00,2.00,2.00
593,0.00,1.00,1.00,2.00,2.00
594,0.00,1.00,5.00,5.00,5.00
595,0.00,1.00,1.00,4.00,4.00
596,0.00,2.00,5.00,2.00,4.00
597,0.00,2.00,3.00,4.00,5.00
598,0.00,3.00,5.00,3.00,5.00
599,0.00,2.00,4.00,3.00,4.00
600,1.00,3.00,3.00,5.00,5.00
601,0.00,5.00,5.00,1.00,2.00
602,0.00,3.00,4.00,2.00,4.00
603,0.00,2.00,5.00,1.00,5.00
604,0.00,5.00,5.00,2.00,2.00
605,1.00,2.00,3.00,5.00,3.00
606,1.00,1.00,2.00,4.00,2.00
607,0.00,2.00,5.00,1.00,2.00
608,1.00,1.00,3.00,4.00,4.00
609,0.00,2.00,5.00,2.00,4.00
610,1.00,1.00,2.00,5.00,3.00
611,1.00,2.00,2.00,3.00,3.00
612,0.00,5.00,5.00,3.00,4.00
613,1.00,1.00,5.00,5.00,3.00
614,1.00,1.00,1.00,4.00,4.00
615,0.00,1.00,1.00,1.00,5.00
616,0.00,2.00,4.00,1.00,2.00
617,0.00,3.00,5.00,1.00,5.00
618,0.00,4.00,5.00,2.00,3.00
619,0.00,1.00,2.00,1.00,5.00
620,1.00,1.00,4.00,4.00,3.00
621,0.00,5.00,5.00,1.00,5.00
622,0.00,4.00,4.00,1.00,4.00
623,1.00,4.00,5.00,4.00,1.00
624,0.00,4.00,5.00,5.00,5.00
625,0.00,5.00,5.00,2.00,3.00
626,1.00,1.00,2.00,5.00,5.00
627,0.00,1.00,2.00,2.00,4.00
628,0.00,5.00,5.00,1.00,1.00
629,0.00,2.00,4.00,1.00,3.00
630,0.00,2.00,2.00,1.00,3.00
631,1.00,3.00,5.00,3.00,2.00
632,0.00,3.00,4.00,1.00,3.00
633,0.00,1.00,2.00,2.00,4.00
634,0.00,3.00,4.00,1.00,4.00
635,0.00,1.00,5.00,1.00,3.00
636,1.00,1.00,3.00,5.00,3.00
637,1.00,1.00,3.00,2.00,1.00
638,0.00,1.00,3.00,2.00,4.00
639,1.00,1.00,5.00,5.00,1.00
640,1.00,2.00,3.00,2.00,1.00
641,1.00,2.00,2.00,4.00,4.00
642,1.00,2.00,4.00,4.00,2.00
643,1.00,3.00,4.00,2.00,1.00
644,1.00,3.00,4.00,5.00,1.00
645,0.00,4.00,4.00,5.00,5.00
646,1.00,2.00,5.00,4.00,3.00
647,1.00,3.00,3.00,1.00,1.00
648,0.00,1.00,4.00,1.00,2.00
649,0.00,1.00,5.00,3.00,5.00
650,0.00,1.00,2.00,2.00,2.00
651,1.00,3.00,4.00,4.00,1.00
652,0.00,2.00,5.00,1.00,5.00
653,0.00,4.00,5.00,2.00,2.00
654,1.00,1.00,4.00,5.00,2.00
655,1.00,2.00,3.00,5.00,1.00
656,1.00,2.00,4.00,4.00,1.00
657,1.00,2.00,4.00,4.00,3.00
658,1.00,3.00,4.00,5.00,4.00
659,0.00,1.00,2.00,4.00,5.00
660,0.00,1.00,5.00,2.00,3.00
661,0.00,1.00,2.00,1.00,3.00
662,0.00,1.00,3.00,3.00,3.00
663,0.00,2.00,5.00,1.00,4.00
664,1.00,2.00,4.00,2.00,1.00
665,0.00,1.00,2.00,1.00,3.00
666,0.00,3.00,5.00,2.00,2.00
667,0.00,5.00,5.00,1.00,5.00
668,0.00,3.00,5.00,3.00,5.00
669,0.00,2.00,3.00,4.00,5.00
670,0.00,1.00,3.00,3.00,4.00
671,0.00,3.00,4.00,1.00,1.00
672,0.00,3.00,4.00,2.00,3.00
673,0.00,3.00,5.00,3.00,5.00
674,0.00,3.00,4.00,5.00,2.00
675,0.00,4.00,5.00,1.00,5.00
676,0.00,5.00,5.00,3.00,4.00
677,1.00,2.00,4.00,4.00,1.00
678,1.00,1.00,5.00,3.00,2.00
679,1.00,1.00,3.00,3.00,2.00
680,1.00,1.00,3.00,4.00,2.00
681,0.00,2.00,2.00,1.00,4.00
682,1.00,1.00,4.00,2.00,1.00
683,0.00,1.00,3.00,3.00,4.00
684,1.00,1.00,1.00,3.00,3.00
685,0.00,1.00,1.00,3.00,5.00
686,0.00,3.00,5.00,4.00,5.00
687,1.00,1.00,3.00,2.00,1.00
688,0.00,1.00,4.00,1.00,5.00
689,1.00,4.00,4.00,4.00,4.00
690,1.00,2.00,5.00,5.00,1.00
691,0.00,1.00,5.00,3.00,3.00
692,0.00,2.00,5.00,1.00,4.00
693,0.00,2.00,2.00,1.00,2.00
694,0.00,3.00,4.00,5.00,5.00
695,0.00,2.00,4.00,2.00,5.00
696,0.00,2.00,4.00,3.00,3.00
697,0.00,3.00,3.00,2.00,5.00
698,0.00,2.00,3.00,1.00,1.00
699,0.00,2.00,2.00,4.00,5.00
700,0.00,1.00,2.00,1.00,4.00
701,1.00,4.00,5.00,5.00,2.00
702,1.00,3.00,5.00,5.00,2.00
703,0.00,5.00,5.00,1.00,2.00
704,0.00,2.00,4.00,1.00,4.00
705,0.00,1.00,2.00,2.00,4.00
706,1.00,1.00,1.00,1.00,1.00
707,0.00,1.00,2.00,1.00,2.00
708,0.00,2.00,4.00,1.00,3.00
709,0.00,2.00,5.00,1.00,3.00
710,0.00,2.00,3.00,2.00,5.00
711,1.00,1.00,4.00,4.00,3.00
712,0.00,1.00,2.00,4.00,4.00
713,1.00,2.00,3.00,5.00,3.00
714,0.00,3.00,4.00,4.00,4.00
715,1.00,3.00,3.00,1.00,1.00
716,0.00,5.00,5.00,4.00,4.00
717,1.00,1.00,4.00,4.00,2.00
718,0.00,3.00,3.00,4.00,5.00
719,1.00,2.00,5.00,5.00,1.00
720,0.00,2.00,2.00,4.00,5.00
721,1.00,3.00,4.00,3.00,2.00
722,0.00,4.00,5.00,1.00,3.00
723,0.00,1.00,1.00,4.00,5.00
724,1.00,2.00,3.00,5.00,1.00
725,0.00,2.00,5.00,2.00,3.00
726,0.00,1.00,5.00,2.00,3.00
727,1.00,4.00,5.00,2.00,2.00
728,0.00,3.00,5.00,1.00,4.00
729,0.00,1.00,5.00,4.00,3.00
730,1.00,4.00,5.00,5.00,1.00
731,0.00,3.00,5.00,2.00,3.00
732,0.00,4.00,5.00,1.00,5.00
733,0.00,1.00,3.00,1.00,3.00
734,1.00,1.00,2.00,4.00,1.00
735,1.00,1.00,4.00,4.00,3.00
736,0.00,1.00,1.00,1.00,1.00
737,1.00,1.00,3.00,4.00,4.00
738,0.00,4.00,4.00,3.00,3.00
739,0.00,2.00,5.00,3.00,5.00
740,0.00,4.00,5.00,2.00,4.00
741,0.00,2.00,2.00,1.00,2.00
742,0.00,3.00,4.00,3.00,3.00
743,0.00,3.00,4.00,1.00,2.00
744,0.00,3.00,5.00,2.00,2.00
745,0.00,2.00,5.00,4.00,3.00
746,0.00,1.00,2.00,2.00,3.00
747,0.00,2.00,3.00,1.00,1.00
748,1.00,1.00,2.00,2.00,1.00
749,0.00,3.00,3.00,3.00,5.00
750,0.00,3.00,5.00,1.00,2.00
751,0.00,5.00,5.00,4.00,5.00
752,0.00,2.00,4.00,1.00,4.00
753,1.00,3.00,5.00,5.00,2.00
754,0.00,1.00,5.00,1.00,1.00
755,1.00,3.00,5.00,2.00,1.00
756,1.00,2.00,3.00,5.00,2.00
757,0.00,1.00,2.00,3.00,4.00
758,0.00,3.00,3.00,3.00,4.00
759,1.00,1.00,4.00,3.00,1.00
760,1.00,1.00,2.00,5.00,1.00
761,1.00,4.00,5.00,5.00,3.00
762,1.00,3.00,5.00,4.00,3.00
763,0.00,2.00,4.00,3.00,4.00
764,1.00,1.00,2.00,5.00,2.00
765,0.00,3.00,3.00,4.00,5.00
766,0.00,3.00,3.00,2.00,5.00
767,1.00,1.00,4.00,3.00,2.00
768,0.00,2.00,3.00,2.00,4.00
769,0.00,1.00,3.00,2.00,3.00
770,0.00,2.00,2.00,1.00,3.00
771,0.00,3.00,5.00,2.00,3.00
772,1.00,1.00,5.00,2.00,1.00
773,0.00,3.00,5.00,5.00,5.00
774,0.00,1.00,4.00,4.00,4.00
775,1.00,2.00,5.00,4.00,2.00
776,0.00,3.00,4.00,3.00,4.00
777,1.00,3.00,5.00,2.00,1.00
778,0.00,3.00,3.00,2.00,3.00
779,1.00,2.00,4.00,4.00,3.00
780,1.00,4.00,5.00,5.00,1.00
781,0.00,1.00,1.00,1.00,3.00
782,0.00,3.00,3.00,3.00,4.00
783,0.00,5.00,5.00,2.00,5.00
784,1.00,2.00,2.00,4.00,4.00
785,0.00,1.00,1.00,1.00,5.00
786,0.00,1.00,4.00,4.00,5.00
787,1.00,1.00,2.00,5.00,3.00
788,0.00,3.00,5.00,3.00,3.00
789,0.00,1.00,2.00,4.00,4.00
790,0.00,1.00,5.00,1.00,2.00
791,1.00,4.00,4.00,1.00,1.00
792,0.00,2.00,3.00,3.00,4.00
793,0.00,1.00,4.00,1.00,3.00
794,1.00,4.00,4.00,2.00,2.00
795,0.00,3.00,3.00,4.00,5.00
796,0.00,4.00,4.00,1.00,5.00
797,1.00,3.00,4.00,2.00,1.00
798,0.00,4.00,5.00,3.00,5.00
799,0.00,3.00,3.00,1.00,4.00
800,1.00,1.00,4.00,4.00,1.00
801,1.00,2.00,4.00,3.00,2.00
802,0.00,3.00,4.00,1.00,2.00
803,0.00,1.00,5.00,1.00,4.00
804,1.00,2.00,4.00,3.00,3.00
805,1.00,1.00,3.00,5.00,4.00
806,0.00,2.00,5.00,1.00,5.00
807,1.00,1.00,4.00,3.00,3.00
808,0.00,1.00,2.00,1.00,4.00
809,1.00,4.00,5.00,2.00,2.00
810,1.00,1.00,2.00,3.00,1.00
811,1.00,1.00,4.00,5.00,2.00
812,1.00,1.00,4.00,4.00,1.00
813,0.00,3.00,3.00,1.00,4.00
814,0.00,2.00,3.00,1.00,2.00
815,1.00,1.00,3.00,3.00,1.00
816,0.00,3.00,5.00,1.00,5.00
817,1.00,1.00,5.00,4.00,1.00
818,0.00,2.00,5.00,1.00,3.00
819,0.00,1.00,1.00,1.00,1.00
820,0.00,1.00,3.00,2.00,4.00
821,0.00,1.00,4.00,3.00,4.00
822,1.00,2.00,3.00,5.00,3.00
823,0.00,2.00,2.00,1.00,4.00
824,0.00,4.00,4.00,1.00,3.00
825,0.00,1.00,3.00,5.00,4.00
826,0.00,1.00,5.00,1.00,1.00
827,0.00,3.00,4.00,1.00,3.00
828,0.00,4.00,5.00,2.00,4.00
829,1.00,4.00,5.00,5.00,2.00
830,1.00,1.00,5.00,5.00,3.00
831,0.00,3.00,4.00,1.00,1.00
832,0.00,4.00,5.00,1.00,4.00
833,0.00,5.00,5.00,1.00,4.00
834,0.00,2.00,3.00,1.00,3.00
835,0.00,2.00,2.00,5.00,5.00
836,1.00,1.00,5.00,2.00,1.00
837,0.00,4.00,4.00,2.00,3.00
838,0.00,4.00,5.00,3.00,5.00
839,1.00,1.00,4.00,4.00,1.00
840,0.00,5.00,5.00,2.00,5.00
841,1.00,3.00,5.00,5.00,3.00
842,0.00,1.00,1.00,1.00,2.00
843,1.00,4.00,5.00,4.00,3.00
844,1.00,2.00,5.00,4.00,3.00
845,0.00,2.00,4.00,3.00,3.00
846,0.00,3.00,5.00,1.00,2.00
847,0.00,3.00,4.00,5.00,5.00
848,0.00,1.00,3.00,3.00,4.00
849,0.00,1.00,1.00,1.00,3.00
850,1.00,1.00,4.00,5.00,5.00
851,0.00,5.00,5.00,2.00,5.00
852,0.00,1.00,3.00,2.00,4.00
853,0.00,1.00,5.00,1.00,2.00
854,0.00,4.00,4.00,1.00,3.00
855,1.00,1.00,5.00,5.00,1.00
856,1.00,1.00,3.00,5.00,5.00
857,0.00,2.00,4.00,2.00,5.00
858,0.00,1.00,3.00,5.00,5.00
859,0.00,2.00,4.00,2.00,2.00
860,0.00,1.00,2.00,1.00,4.00
861,0.00,2.00,2.00,5.00,5.00
862,0.00,2.00,3.00,1.00,3.00
863,1.00,3.00,5.00,4.00,1.00
864,1.00,2.00,4.00,3.00,1.00
865,0.00,2.00,5.00,2.00,5.00
866,1.00,1.00,2.00,3.00,1.00
867,0.00,3.00,3.00,1.00,4.00
868,0.00,2.00,4.00,3.00,4.00
869,0.00,1.00,2.00,3.00,5.00
870,0.00,1.00,3.00,4.00,5.00
871,1.00,2.00,3.00,4.00,1.00
872,0.00,1.00,4.00,1.00,1.00
873,0.00,1.00,2.00,3.00,5.00
874,0.00,1.00,2.00,1.00,2.00
875,0.00,1.00,5.00,3.00,4.00
876,0.00,2.00,5.00,1.00,1.00
877,0.00,1.00,2.00,2.00,3.00
878,0.00,2.00,3.00,2.00,4.00
879,0.00,1.00,4.00,1.00,5.00
880,1.00,3.00,4.00,4.00,1.00
881,1.00,2.00,3.00,2.00,1.00
882,1.00,1.00,2.00,4.00,1.00
883,0.00,4.00,4.00,2.00,3.00
884,1.00,1.00,2.00,5.00,4.00
885,1.00,2.00,4.00,4.00,2.00
886,0.00,1.00,4.00,3.00,4.00
887,1.00,2.00,4.00,5.00,2.00
888,0.00,5.00,5.00,2.00,4.00
889,0.00,4.00,5.00,1.00,2.00
890,1.00,1.00,2.00,5.00,3.00
891,1.00,2.00,5.00,4.00,2.00
892,0.00,2.00,5.00,3.00,5.00
893,1.00,1.00,3.00,5.00,3.00
894,1.00,3.00,4.00,3.00,1.00
895,0.00,4.00,4.00,2.00,4.00
896,0.00,5.00,5.00,2.00,4.00
897,1.00,2.00,4.00,3.00,2.00
898,0.00,2.00,5.00,2.00,3.00
899,0.00,1.00,4.00,1.00,5.00
900,0.00,3.00,4.00,2.00,2.00
901,1.00,1.00,4.00,5.00,3.00
902,0.00,1.00,5.00,1.00,4.00
903,1.00,1.00,2.00,3.00,3.00
904,1.00,2.00,5.00,4.00,2.00
905,0.00,1.00,5.00,3.00,4.00
906,0.00,4.00,5.00,2.00,5.00
907,0.00,1.00,5.00,1.00,4.00
908,0.00,4.00,5.00,2.00,4.00
909,1.00,3.00,5.00,5.00,4.00
910,0.00,1.00,4.00,5.00,5.00
911,1.00,4.00,5.00,4.00,3.00
912,1.00,1.00,3.00,3.00,1.00
913,0.00,4.00,5.00,3.00,5.00
914,0.00,1.00,1.00,1.00,2.00
915,1.00,2.00,4.00,4.00,2.00
916,1.00,1.00,4.00,5.00,3.00
917,1.00,3.00,5.00,3.00,3.00
918,0.00,3.00,5.00,5.00,5.00
919,1.00,1.00,2.00,5.00,2.00
920,0.00,2.00,3.00,2.00,3.00
921,0.00,3.00,3.00,1.00,5.00
922,1.00,3.00,5.00,5.00,4.00
923,1.00,2.00,4.00,2.00,2.00
924,0.00,2.00,3.00,2.00,4.00
925,1.00,2.00,3.00,3.00,1.00
926,1.00,3.00,5.00,5.00,4.00
927,0.00,2.00,3.00,1.00,3.00
928,1.00,2.00,5.00,1.00,1.00
929,1.00,2.00,3.00,5.00,2.00
930,1.00,2.00,4.00,5.00,2.00
931,1.00,1.00,3.00,4.00,3.00
932,0.00,4.00,5.00,2.00,5.00
933,0.00,2.00,3.00,3.00,4.00
934,0.00,2.00,5.00,2.00,5.00
935,1.00,3.00,4.00,2.00,1.00
936,0.00,1.00,5.00,2.00,5.00
937,0.00,4.00,4.00,3.00,4.00
938,1.00,4.00,4.00,2.00,2.00
939,1.00,3.00,4.00,5.00,1.00
940,0.00,3.00,3.00,1.00,5.00
941,0.00,1.00,2.00,5.00,4.00
942,1.00,1.00,3.00,5.00,3.00
943,0.00,2.00,4.00,2.00,2.00
944,0.00,4.00,4.00,3.00,4.00
945,0.00,2.00,2.00,1.00,5.00
946,0.00,4.00,4.00,1.00,5.00
947,0.00,2.00,4.00,1.00,3.00
948,1.00,3.00,4.00,2.00,2.00
949,0.00,1.00,3.00,1.00,5.00
950,1.00,2.00,3.00,2.00,3.00
951,0.00,1.00,3.00,1.00,5.00
952,0.00,4.00,4.00,1.00,5.00
953,0.00,1.00,5.00,3.00,4.00
954,0.00,1.00,5.00,2.00,5.00
955,0.00,1.00,3.00,1.00,5.00
956,1.00,3.00,4.00,5.00,1.00
957,1.00,1.00,1.00,4.00,4.00
958,0.00,1.00,1.00,2.00,2.00
959,1.00,3.00,5.00,2.00,2.00
960,0.00,1.00,1.00,1.00,3.00
961,1.00,1.00,1.00,2.00,2.00
962,1.00,1.00,2.00,5.00,4.00
963,0.00,4.00,5.00,1.00,2.00
964,0.00,3.00,4.00,1.00,5.00
965,1.00,2.00,3.00,5.00,1.00
966,0.00,2.00,5.00,2.00,5.00
967,1.00,3.00,4.00,3.00,1.00
968,1.00,2.00,4.00,4.00,4.00
969,1.00,3.00,4.00,3.00,1.00
970,0.00,3.00,4.00,1.00,5.00
971,0.00,4.00,5.00,1.00,2.00
972,0.00,3.00,4.00,1.00,5.00
973,1.00,2.00,4.00,4.00,4.00
974,1.00,1.00,4.00,4.00,2.00
975,1.00,1.00,4.00,4.00,2.00