"","resp","S1","S2","S3","S4"
"1",1,2,4,6,8
"2",1,1,4,6,9
"3",1,2,3,7,9
"4",1,2,5,6,7
"5",0,1,3,6,7
"6",0,1,5,6,9
"7",1,1,2,8,9
"8",1,3,5,10,11
"9",0,2,5,7,8
"10",1,3,4,5,10
"11",0,1,6,8,10
"12",0,4,8,9,10
"13",1,2,4,5,11
"14",0,3,8,10,11
"15",0,1,6,10,11
"16",1,6,7,8,11
"17",1,1,2,5,6
"18",1,5,7,8,11
"19",0,4,7,9,10
"20",1,4,5,9,11
"21",1,1,4,7,10
"22",1,3,5,6,10
"23",1,3,4,8,9
"24",0,2,6,9,10
"25",0,2,6,10,11
"26",1,1,2,4,10
"27",0,1,5,9,10
"28",0,4,7,8,10
"29",0,6,7,8,9
"30",1,1,2,5,10
"31",1,1,3,6,8
"32",1,1,4,5,8
"33",0,2,5,7,9
"34",1,4,6,9,11
"35",0,1,7,10,11
"36",0,1,7,9,10
"37",0,4,7,8,9
"38",1,1,2,6,10
"39",1,4,5,6,8
"40",1,3,6,7,10
"41",1,1,2,7,11
"42",1,2,4,8,10
"43",0,5,6,7,8
"44",1,2,4,8,11
"45",1,2,3,4,11
"46",1,4,5,7,8
"47",1,1,3,5,8
"48",1,3,6,8,11
"49",1,2,4,6,9
"50",1,1,2,9,10
"51",1,4,6,7,10
"52",1,1,2,4,8
"53",0,2,5,6,8
"54",1,4,5,8,10
"55",1,1,5,7,10
"56",1,2,5,6,9
"57",1,6,7,8,10
"58",1,2,6,8,11
"59",1,2,3,4,6
"60",1,2,3,8,10
"61",1,1,5,7,11
"62",1,6,8,9,10
"63",1,4,5,8,9
"64",1,4,5,6,11
"65",1,3,5,7,9
"66",0,3,9,10,11
"67",1,4,6,7,8
"68",1,1,8,9,11
"69",1,2,3,5,7
"70",0,2,7,10,11
"71",1,1,2,6,8
"72",1,2,6,7,11
"73",1,1,3,4,9
"74",1,1,2,5,7
"75",1,1,5,7,8
"76",1,2,4,6,11
"77",1,3,4,6,10
"78",0,2,8,9,11
"79",1,2,3,7,11
"80",1,4,5,8,11
"81",0,4,6,8,10
"82",0,3,5,6,9
"83",1,1,5,8,10
"84",1,1,2,3,4
"85",1,3,6,8,9
"86",1,3,5,8,9
"87",1,2,4,5,6
"88",1,1,3,5,9
"89",0,1,7,9,11
"90",1,2,3,5,6
"91",1,2,4,6,10
"92",0,1,6,7,8
"93",1,1,3,4,7
"94",0,3,6,8,10
"95",0,4,6,9,10
"96",1,3,5,7,10
"97",0,4,6,10,11
"98",0,2,3,8,9
"99",1,1,3,5,11
"100",1,2,3,4,9
"101",1,2,3,9,10
"102",1,1,5,8,9
"103",1,4,7,9,11
"104",1,3,7,8,11
"105",0,2,6,9,11
"106",1,3,6,9,11
"107",1,2,7,8,11
"108",1,1,5,6,11
"109",1,7,8,10,11
"110",1,3,4,8,10
"111",1,1,5,6,10
"112",1,2,6,7,8
"113",1,2,4,8,9
"114",0,3,7,8,9
"115",1,3,5,9,10
"116",1,5,6,7,11
"117",1,1,2,3,5
"118",1,1,4,8,10
"119",1,1,2,4,6
"120",1,2,4,9,11
"121",1,1,4,6,7
"122",1,3,6,9,10
"123",1,3,4,6,8
"124",1,5,8,10,11
"125",1,1,3,7,10
"126",1,3,6,7,9
"127",1,2,4,7,8
"128",1,1,3,4,8
"129",1,4,8,10,11
"130",1,1,2,4,11
"131",1,3,6,10,11
"132",0,1,8,10,11
"133",1,3,4,6,11
"134",1,5,8,9,10
"135",1,1,4,6,11
"136",1,1,3,10,11
"137",1,2,4,5,8
"138",1,3,5,9,11
"139",1,5,6,9,11
"140",1,7,8,9,10
"141",1,6,8,9,11
"142",1,4,7,10,11
"143",1,4,5,7,11
"144",0,3,8,9,11
"145",1,4,5,7,9
"146",0,2,6,7,9
"147",1,2,3,4,8
"148",1,1,4,8,11
"149",0,4,6,7,9
"150",1,4,5,9,10
"151",1,2,4,7,10
"152",0,5,9,10,11
"153",1,4,5,6,10
"154",1,1,6,7,10
"155",1,3,5,6,11
"156",0,2,5,8,9
"157",1,3,5,6,7
"158",1,1,5,10,11
"159",0,1,8,9,10
"160",0,3,8,9,10
"161",1,1,2,4,9
"162",1,5,6,7,9
"163",1,1,7,8,11
"164",1,2,3,7,10
"165",0,1,3,8,9
"166",1,1,3,8,11
"167",1,3,4,8,11
"168",1,3,4,5,8
"169",1,5,7,10,11
"170",1,3,4,5,11
"171",1,1,2,6,9
"172",1,1,2,4,5
"173",1,2,3,4,10
"174",0,3,6,7,8
"175",0,2,7,9,10
"176",1,3,6,7,11
"177",1,1,3,6,9
"178",1,2,3,4,7
"179",1,2,3,8,11
"180",1,1,6,9,10
"181",1,1,2,3,9
"182",0,7,9,10,11
"183",1,1,4,5,10
"184",1,2,3,4,5
"185",1,2,3,7,8
"186",1,2,3,6,10
"187",1,3,4,5,9
"188",0,2,8,10,11
"189",1,1,3,5,10
"190",1,3,5,8,11
"191",1,5,6,7,10
"192",0,3,7,9,11
"193",1,3,5,6,8
"194",0,4,9,10,11
"195",1,1,2,9,11
"196",1,3,4,9,11
"197",1,5,7,8,10
"198",1,2,3,6,11
"199",1,2,5,6,11
"200",1,1,3,8,10
"201",1,1,4,5,9
"202",1,3,4,6,9
"203",1,5,6,8,9
"204",1,1,2,10,11
"205",1,2,4,9,10
"206",1,1,5,6,7
"207",0,2,8,9,10
"208",0,1,5,6,8
"209",0,1,7,8,9
"210",0,2,5,10,11
"211",1,5,6,8,11
"212",0,2,6,8,9
"213",1,1,6,9,11
"214",1,2,5,6,10
"215",1,1,4,6,10
"216",1,6,8,10,11
"217",1,2,7,9,11
"218",0,6,9,10,11
"219",1,2,5,8,10
"220",1,2,4,6,7
"221",1,2,3,6,9
"222",1,2,4,10,11
"223",1,1,2,3,8
"224",1,3,4,7,8
"225",1,1,4,9,11
"226",1,1,6,7,11
"227",1,1,2,7,8
"228",0,1,9,10,11
"229",1,2,3,5,10
"230",1,1,4,10,11
"231",1,3,4,5,7
"232",1,1,2,5,9
"233",1,5,7,9,11
"234",1,1,5,9,11
"235",1,1,3,7,8
"236",1,1,3,6,10
"237",1,2,3,9,11
"238",1,1,3,6,11
"239",1,1,3,4,5
"240",1,1,6,8,11
"241",1,4,6,8,11
"242",1,4,5,6,9
"243",1,5,6,8,10
"244",0,5,8,9,11
"245",1,2,4,7,11
"246",0,2,6,8,10
"247",1,1,4,7,11
"248",0,4,6,8,9
"249",1,4,8,9,11
"250",1,1,4,5,11
"251",0,2,7,8,9
"252",1,3,5,8,10
"253",1,4,6,7,11
"254",1,6,7,10,11
"255",0,8,9,10,11
"256",1,6,7,9,11
"257",1,1,3,9,11
"258",0,5,7,9,10
"259",1,1,3,7,9
"260",0,5,6,9,10
"261",1,1,4,5,6
"262",0,3,7,10,11
"263",1,3,4,7,9
"264",1,2,4,5,7
"265",1,1,2,5,11
"266",1,2,4,7,9
"267",1,2,4,5,10
"268",1,1,2,5,8
"269",1,5,6,10,11
"270",1,1,2,3,6
"271",1,3,7,9,10
"272",1,1,3,4,6
"273",1,4,5,10,11
"274",1,3,5,7,11
"275",0,2,9,10,11
"276",1,1,3,5,6
"277",0,1,6,7,9
"278",1,3,5,7,8
"279",1,1,4,7,8
"280",1,1,4,6,8
"281",1,1,3,4,10
"282",1,2,5,9,11
"283",0,2,7,8,10
"284",1,2,3,5,9
"285",1,1,2,6,11
"286",1,2,3,6,7
"287",1,7,8,9,11
"288",1,1,2,3,7
"289",1,2,5,7,11
"290",1,2,3,6,8
"291",1,1,2,3,11
"292",0,1,6,8,9
"293",1,2,5,7,10
"294",1,1,5,7,9
"295",0,1,2,3,10
"296",1,1,4,9,10
"297",1,1,2,7,10
"298",1,1,2,6,7
"299",1,1,3,7,11
"300",1,1,3,4,11
"301",0,2,6,7,10
"302",1,4,7,8,11
"303",1,1,2,8,11
"304",1,3,4,9,10
"305",1,2,3,5,11
"306",1,3,4,5,6
"307",1,3,4,7,11
"308",1,2,3,5,8
"309",1,4,5,6,7
"310",1,2,3,10,11
"311",1,1,2,7,9
"312",1,2,5,8,11
"313",1,1,4,7,9
"314",1,4,5,7,10
"315",1,1,3,5,7
"316",0,5,7,8,9
"317",1,3,4,7,10
"318",0,3,7,8,10
"319",1,1,2,4,7
"320",1,2,4,5,9
"321",1,1,5,8,11
"322",1,1,3,9,10
"323",1,3,4,6,7
"324",1,1,4,5,7
"325",1,1,2,8,10
"326",0,1,7,8,10
"327",1,1,4,8,9
"328",1,3,4,10,11
"329",0,6,7,9,10
"330",1,2,5,9,10
"331",0,1,8,10,11
"332",0,2,8,10,11
"333",1,3,5,9,11
"334",1,1,3,5,7
"335",1,2,3,6,10
"336",0,1,8,9,10
"337",1,2,4,5,10
"338",0,2,3,7,8
"339",1,5,6,7,9
"340",1,3,5,7,11
"341",0,3,6,8,9
"342",1,4,5,6,7
"343",1,1,3,4,5
"344",1,7,8,9,11
"345",1,1,3,4,10
"346",0,1,5,9,10
"347",0,1,6,7,10
"348",1,2,4,6,9
"349",1,1,4,9,11
"350",1,2,4,7,11
"351",1,2,4,5,9
"352",1,2,4,7,8
"353",1,5,6,9,11
"354",0,3,8,10,11
"355",1,3,4,6,8
"356",1,1,4,8,10
"357",1,3,4,6,11
"358",1,1,3,4,8
"359",1,3,6,8,11
"360",0,1,2,3,4
"361",1,1,4,5,8
"362",1,4,5,7,9
"363",0,2,4,9,10
"364",0,1,6,8,9
"365",1,2,6,7,11
"366",1,2,3,5,7
"367",0,2,9,10,11
"368",0,3,4,8,9
"369",1,2,4,8,11
"370",1,1,4,5,6
"371",1,4,6,9,11
"372",1,1,6,8,11
"373",0,2,6,7,8
"374",1,2,5,9,10
"375",1,4,5,7,11
"376",0,3,8,9,11
"377",0,3,6,7,9
"378",0,1,7,9,11
"379",1,1,2,7,9
"380",0,2,5,7,8
"381",1,4,6,7,10
"382",1,1,3,4,6
"383",1,3,4,5,8
"384",0,5,7,9,10
"385",1,1,3,7,9
"386",1,1,4,5,7
"387",0,8,9,10,11
"388",1,2,4,5,7
"389",1,1,2,3,8
"390",1,1,2,8,11
"391",0,2,7,9,10
"392",1,2,7,8,10
"393",0,4,9,10,11
"394",0,1,6,7,9
"395",1,3,4,9,11
"396",1,3,4,7,8
"397",1,4,5,9,10
"398",1,1,2,5,11
"399",1,1,3,9,11
"400",1,2,3,10,11
"401",0,2,6,10,11
"402",1,3,7,8,11
"403",1,2,3,6,7
"404",1,1,3,8,9
"405",1,2,3,4,9
"406",0,6,7,9,10
"407",0,5,7,9,11
"408",0,5,8,10,11
"409",1,1,2,4,8
"410",0,1,7,8,9
"411",1,1,3,5,9
"412",1,2,4,5,11
"413",1,2,3,8,11
"414",1,3,6,7,11
"415",1,1,4,8,9
"416",1,1,3,8,11
"417",1,3,5,8,11
"418",1,1,5,6,10
"419",0,2,5,10,11
"420",0,7,9,10,11
"421",1,4,6,9,10
"422",1,2,3,6,9
"423",1,2,4,6,7
"424",0,3,6,10,11
"425",1,1,3,6,7
"426",0,1,5,6,7
"427",1,1,6,9,11
"428",0,4,7,10,11
"429",1,1,2,4,6
"430",0,1,7,9,10
"431",1,4,6,7,11
"432",1,1,5,6,8
"433",1,3,5,6,11
"434",1,1,4,5,9
"435",1,1,4,9,10
"436",1,1,3,6,9
"437",0,2,7,8,11
"438",0,2,7,9,11
"439",0,2,5,6,8
"440",1,1,2,3,6
"441",1,1,4,6,8
"442",1,2,5,7,11
"443",1,1,2,3,11
"444",1,2,5,8,11
"445",1,2,6,7,10
"446",1,2,4,10,11
"447",1,1,4,6,7
"448",1,1,3,6,11
"449",1,2,4,7,9
"450",0,4,8,9,10
"451",1,1,2,4,10
"452",1,1,2,4,5
"453",1,2,5,6,9
"454",1,1,3,4,9
"455",1,1,4,6,10
"456",1,1,2,7,10
"457",1,2,4,8,9
"458",1,1,5,7,10
"459",1,2,5,9,11
"460",1,1,5,9,11
"461",0,4,6,8,9
"462",1,2,3,4,8
"463",1,1,2,6,8
"464",0,1,6,9,10
"465",1,4,6,7,9
"466",1,1,2,10,11
"467",1,3,4,5,6
"468",1,1,5,8,10
"469",1,3,4,5,7
"470",1,5,6,8,9
"471",1,5,6,8,11
"472",1,1,4,5,10
"473",1,1,3,4,11
"474",0,1,7,10,11
"475",1,2,3,4,11
"476",1,4,7,8,11
"477",1,3,5,6,8
"478",0,5,6,7,8
"479",0,2,6,7,9
"480",1,2,5,6,11
"481",0,6,8,10,11
"482",1,1,2,3,9
"483",1,4,5,6,8
"484",1,1,3,7,10
"485",1,2,3,8,10
"486",1,2,5,8,9
"487",1,1,2,4,11
"488",1,2,3,8,9
"489",1,4,5,8,11
"490",0,4,8,9,11
"491",0,4,8,10,11
"492",1,1,3,5,11
"493",1,5,6,7,10
"494",1,4,7,8,10
"495",1,3,4,7,9
"496",0,1,9,10,11
"497",0,2,8,9,10
"498",1,7,8,10,11
"499",1,1,2,6,11
"500",0,3,7,9,11
"501",1,1,4,8,11
"502",1,2,5,8,10
"503",1,1,2,3,5
"504",0,3,7,9,10
"505",1,3,5,7,8
"506",1,2,4,9,11
"507",1,1,3,7,11
"508",1,1,4,6,9
"509",1,1,4,7,8
"510",1,3,4,7,10
"511",1,4,5,6,10
"512",0,4,5,7,8
"513",1,1,2,5,10
"514",1,2,3,6,11
"515",1,1,2,6,10
"516",1,2,3,9,11
"517",1,2,4,5,6
"518",0,3,9,10,11
"519",0,5,9,10,11
"520",0,4,5,10,11
"521",1,1,5,8,9
"522",1,3,4,9,10
"523",1,3,4,7,11
"524",1,2,3,5,6
"525",0,5,7,8,9
"526",1,3,4,5,9
"527",0,6,7,8,9
"528",1,3,4,8,10
"529",0,2,6,9,10
"530",1,2,6,8,9
"531",0,2,6,8,10
"532",1,1,3,7,8
"533",1,4,5,6,11
"534",1,1,5,8,11
"535",1,2,3,4,6
"536",1,3,5,8,9
"537",1,1,2,5,8
"538",1,3,6,7,8
"539",0,5,6,9,10
"540",1,1,2,9,10
"541",1,4,5,8,10
"542",1,1,5,10,11
"543",1,3,5,6,7
"544",1,5,8,9,11
"545",1,3,5,8,10
"546",0,2,7,8,9
"547",1,1,2,5,9
"548",1,1,5,7,8
"549",1,1,4,7,10
"550",1,1,6,7,11
"551",1,1,2,5,7
"552",0,1,6,10,11
"553",1,6,7,8,10
"554",1,4,5,6,9
"555",1,1,2,8,9
"556",1,1,3,10,11
"557",1,3,4,6,9
"558",1,3,5,6,10
"559",1,6,7,9,11
"560",1,2,4,6,8
"561",1,4,7,9,10
"562",1,1,3,8,10
"563",1,1,5,6,9
"564",1,1,2,7,11
"565",0,1,7,8,10
"566",1,3,4,10,11
"567",0,1,6,7,8
"568",0,3,8,9,10
"569",1,3,5,7,9
"570",1,2,3,5,8
"571",1,2,3,5,10
"572",1,1,2,4,7
"573",1,1,2,6,9
"574",1,1,4,6,11
"575",1,2,4,6,11
"576",1,1,3,4,7
"577",1,1,4,7,9
"578",1,1,2,3,7
"579",0,3,7,10,11
"580",1,3,6,7,10
"581",1,3,5,10,11
"582",0,5,6,10,11
"583",0,2,5,6,7
"584",1,2,3,7,9
"585",1,1,4,7,11
"586",1,3,4,6,7
"587",1,1,5,6,11
"588",0,1,8,9,11
"589",0,1,5,7,9
"590",1,3,5,9,10
"591",1,2,4,8,10
"592",0,7,8,9,10
"593",0,4,7,8,9
"594",0,4,6,8,10
"595",1,2,5,6,10
"596",1,1,4,5,11
"597",0,2,8,9,11
"598",1,2,3,4,5
"599",1,1,3,6,10
"600",0,6,9,10,11
"601",1,1,4,10,11
"602",1,4,5,8,9
"603",1,2,4,7,10
"604",1,3,7,8,10
"605",1,1,2,8,10
"606",1,1,2,3,10
"607",1,3,4,8,11
"608",1,2,3,9,10
"609",1,5,6,8,10
"610",1,2,3,4,10
"611",1,2,3,6,8
"612",1,2,3,4,7
"613",1,2,4,6,10
"614",1,5,7,8,11
"615",0,3,7,8,9
"616",1,1,2,7,8
"617",1,1,7,8,11
"618",1,2,3,7,11
"619",1,3,6,8,10
"620",0,5,8,9,10
"621",1,4,5,9,11
"622",1,1,5,7,11
"623",0,6,8,9,10
"624",0,1,6,8,10
"625",1,1,2,4,9
"626",1,3,4,6,10
"627",0,4,6,10,11
"628",1,1,3,5,10
"629",1,1,2,6,7
"630",1,2,5,7,10
"631",1,2,5,7,9
"632",1,2,3,5,11
"633",1,4,6,7,8
"634",1,2,3,5,9
"635",1,5,6,7,11
"636",1,1,3,5,8
"637",1,2,6,9,11
"638",1,6,7,8,11
"639",0,1,2,5,6
"640",1,4,6,8,11
"641",0,3,6,9,10
"642",1,4,5,7,10
"643",0,6,7,10,11
"644",1,1,2,9,11
"645",1,1,3,9,10
"646",1,1,3,6,8
"647",1,1,3,5,6
"648",1,2,3,7,10
"649",1,3,6,9,11
"650",1,2,4,5,8
"651",1,2,6,8,11
"652",1,4,7,9,11
"653",1,3,4,5,11
"654",0,2,7,10,11
"655",0,5,7,10,11
"656",1,6,8,9,11
"657",1,3,4,5,10
"658",1,5,7,8,10
"659",1,3,5,7,10
"660",1,3,5,6,9
"661",1,2,3,4,8
"662",1,2,3,6,11
"663",1,2,6,7,10
"664",1,1,2,4,11
"665",1,7,8,9,11
"666",1,1,3,7,10
"667",0,4,5,7,8
"668",1,2,4,7,10
"669",1,2,3,9,11
"670",1,5,6,7,11
"671",0,2,6,8,9
"672",0,6,9,10,11
"673",1,1,2,6,7
"674",1,5,7,8,9
"675",1,2,4,6,9
"676",1,1,2,3,8
"677",1,2,3,4,6
"678",1,1,5,7,8
"679",1,1,3,6,11
"680",0,3,6,7,8
"681",1,5,7,9,11
"682",1,2,3,4,5
"683",1,1,4,6,11
"684",0,2,8,9,11
"685",1,3,4,6,10
"686",1,1,4,7,9
"687",0,2,6,7,9
"688",1,2,3,5,11
"689",0,4,7,10,11
"690",1,3,5,6,10
"691",0,4,6,10,11
"692",0,6,7,8,9
"693",0,3,6,8,10
"694",1,1,4,6,8
"695",1,1,4,7,11
"696",1,2,5,6,8
"697",1,4,5,9,10
"698",1,4,6,7,9
"699",0,3,6,7,10
"700",1,3,4,7,9
"701",0,5,6,9,10
"702",0,4,6,8,10
"703",1,2,3,6,10
"704",1,1,2,5,9
"705",1,1,4,6,7
"706",0,1,9,10,11
"707",0,2,7,8,10
"708",1,2,3,4,9
"709",0,3,7,9,10
"710",1,5,6,8,10
"711",1,2,3,5,10
"712",1,2,3,8,11
"713",1,2,5,10,11
"714",1,2,5,6,11
"715",1,1,4,5,6
"716",1,2,5,9,11
"717",0,5,9,10,11
"718",1,1,4,5,10
"719",1,2,3,8,10
"720",0,1,7,10,11
"721",0,3,7,9,11
"722",1,3,5,9,10
"723",1,2,4,5,6
"724",0,4,5,6,7
"725",1,2,3,5,7
"726",1,1,3,6,7
"727",1,1,2,4,9
"728",1,1,2,5,6
"729",1,1,6,8,11
"730",1,1,3,5,8
"731",1,1,2,3,9
"732",1,4,5,7,10
"733",1,1,2,9,10
"734",1,1,4,7,8
"735",1,1,3,5,6
"736",1,1,2,4,6
"737",1,3,7,8,11
"738",0,3,6,10,11
"739",1,1,2,5,8
"740",1,4,5,6,9
"741",1,4,6,7,11
"742",1,3,4,5,6
"743",1,3,5,6,9
"744",1,2,6,7,11
"745",1,3,6,7,11
"746",1,4,6,7,10
"747",1,1,3,6,8
"748",1,3,4,5,8
"749",0,4,8,9,10
"750",1,2,3,4,10
"751",0,3,8,9,10
"752",0,2,5,7,9
"753",0,2,6,10,11
"754",1,3,5,8,10
"755",1,3,5,6,8
"756",1,1,3,7,9
"757",1,2,4,8,10
"758",1,1,2,6,8
"759",1,2,3,4,7
"760",0,7,8,9,10
"761",1,1,2,6,9
"762",1,3,4,7,8
"763",0,2,5,7,8
"764",1,1,4,8,9
"765",1,3,4,9,10
"766",1,5,6,8,11
"767",1,2,4,10,11
"768",1,1,3,8,11
"769",1,3,5,7,9
"770",0,4,5,6,8
"771",1,2,3,9,10
"772",0,1,8,9,11
"773",1,2,5,9,10
"774",0,1,6,9,11
"775",1,1,2,5,10
"776",1,2,4,5,9
"777",1,3,5,8,9
"778",1,4,5,10,11
"779",1,1,3,5,9
"780",1,5,7,9,10
"781",1,1,2,4,5
"782",0,2,6,7,8
"783",1,6,7,8,11
"784",1,3,5,6,11
"785",1,2,4,7,8
"786",1,2,6,8,10
"787",0,1,8,10,11
"788",0,1,5,6,8
"789",1,5,7,8,10
"790",1,3,4,6,7
"791",1,4,5,8,9
"792",1,2,4,8,9
"793",1,2,5,8,11
"794",1,2,4,6,10
"795",0,6,8,10,11
"796",1,3,5,9,11
"797",1,1,2,4,8
"798",1,2,4,8,11
"799",1,1,3,5,10
"800",1,1,4,7,10
"801",1,5,6,7,9
"802",1,1,3,6,10
"803",0,3,8,10,11
"804",1,2,4,9,11
"805",1,1,5,10,11
"806",0,2,6,9,11
"807",0,2,7,9,11
"808",1,5,6,8,9
"809",1,3,6,7,9
"810",1,3,4,5,7
"811",1,1,5,9,11
"812",0,4,7,9,10
"813",0,3,7,8,10
"814",1,3,4,6,11
"815",1,2,3,5,8
"816",1,3,8,9,11
"817",1,1,5,7,11
"818",1,1,5,9,10
"819",0,5,8,10,11
"820",1,1,3,7,8
"821",1,1,2,7,10
"822",1,2,4,5,7
"823",0,2,7,10,11
"824",1,2,4,6,7
"825",1,3,6,9,10
"826",1,2,4,5,11
"827",1,6,7,8,10
"828",1,2,4,7,11
"829",1,3,5,8,11
"830",1,3,5,7,10
"831",0,1,8,9,10
"832",1,4,5,6,11
"833",0,2,6,9,10
"834",0,1,3,5,7
"835",1,1,3,8,9
"836",0,3,7,10,11
"837",1,1,3,9,11
"838",0,3,5,10,11
"839",1,1,2,3,11
"840",1,2,3,10,11
"841",1,3,4,6,9
"842",1,1,2,7,11
"843",1,1,3,6,9
"844",0,1,6,7,8
"845",0,1,6,8,9
"846",1,3,4,8,11
"847",0,2,9,10,11
"848",1,8,9,10,11
"849",1,4,6,7,8
"850",1,1,3,10,11
"851",1,1,2,3,5
"852",1,1,2,7,8
"853",1,2,4,5,8
"854",1,2,3,7,10
"855",1,2,3,7,11
"856",1,1,2,3,7
"857",0,1,2,4,10
"858",1,3,4,7,10
"859",1,1,6,9,10
"860",1,1,3,8,10
"861",1,1,3,9,10
"862",1,3,5,7,11
"863",1,1,2,8,10
"864",1,6,7,9,10
"865",1,4,5,7,11
"866",1,2,3,5,6
"867",1,7,8,10,11
"868",1,1,2,7,9
"869",1,4,5,9,11
"870",1,1,2,5,7
"871",1,1,2,3,6
"872",1,1,2,3,10
"873",1,1,3,4,11
"874",1,3,4,9,11
"875",1,1,4,6,10
"876",0,3,5,6,7
"877",0,1,7,8,10
"878",0,4,7,8,10
"879",0,2,8,9,10
"880",1,2,3,8,9
"881",0,1,2,3,4
"882",1,5,8,9,11
"883",1,4,8,10,11
"884",1,1,3,4,5
"885",1,2,5,6,10
"886",1,1,3,4,6
"887",1,2,3,5,9
"888",0,3,9,10,11
"889",1,3,6,8,11
"890",1,1,5,7,9
"891",1,2,4,6,8
"892",1,1,6,7,9
"893",0,1,6,8,10
"894",1,4,5,8,11
"895",0,5,8,9,10
"896",1,4,7,8,9
"897",1,2,4,7,9
"898",0,2,7,8,9
"899",0,3,7,8,9
"900",1,1,3,4,7
"901",1,1,6,7,10
"902",1,1,2,5,11
"903",1,2,3,4,11
"904",0,6,7,9,11
"905",1,1,3,5,11
"906",1,2,7,8,11
"907",1,4,5,6,10
"908",1,2,3,6,8
"909",1,1,4,5,11
"910",1,1,5,8,9
"911",1,1,2,8,11
"912",0,4,9,10,11
"913",0,6,8,9,10
"914",1,1,4,9,10
"915",1,1,7,9,10
"916",0,4,6,8,9
"917",1,2,3,7,8
"918",1,1,4,8,11
"919",1,1,7,8,11
"920",1,1,3,4,8
"921",0,7,9,10,11
"922",1,1,5,7,10
"923",1,1,2,6,11
"924",1,3,4,7,11
"925",1,2,4,9,10
"926",1,1,4,5,7
"927",1,2,4,5,10
"928",1,1,4,6,9
"929",1,1,4,8,10
"930",1,2,5,8,9
"931",1,1,5,6,10
"932",1,3,6,8,9
"933",1,4,5,8,10
"934",1,2,3,6,9
"935",1,5,6,7,10
"936",1,1,4,5,9
"937",1,1,5,6,9
"938",1,1,2,10,11
"939",0,1,2,9,11
"940",0,1,5,8,10
"941",0,1,7,8,9
"942",0,3,6,9,11
"943",1,5,6,7,8
"944",1,2,6,8,11
"945",1,1,4,10,11
"946",0,5,7,10,11
"947",1,1,2,4,7
"948",1,2,3,7,9
"949",1,2,4,6,11
"950",1,4,5,7,9
"951",1,5,6,10,11
"952",1,2,5,7,10
"953",1,1,3,7,11
"954",1,3,4,5,9
"955",1,4,7,9,11
"956",1,1,5,8,11
"957",1,4,6,8,11
"958",1,2,3,6,7
"959",1,3,4,5,10
"960",1,1,5,6,7
"961",1,1,2,8,9
"962",0,2,7,9,10
"963",1,1,5,6,11
"964",1,1,3,4,9
"965",1,6,8,9,11
"966",0,4,8,9,11
"967",1,1,6,7,11
"968",1,4,6,9,11
"969",0,3,5,7,8
"970",1,1,2,6,10
"971",1,5,6,9,11
"972",1,3,4,8,10
"973",1,2,5,8,10
"974",1,2,5,6,9
"975",1,1,4,9,11
"976",0,2,8,10,11
"977",1,5,7,8,11
"978",1,3,4,5,11
"979",1,2,5,6,7
"980",1,2,5,7,11
"981",0,1,6,10,11
"982",1,4,7,8,11
"983",1,6,7,10,11
"984",1,1,4,5,8
"985",1,3,4,6,8
"986",1,3,4,10,11
"987",0,4,6,9,10
"988",0,1,7,9,11
"989",1,3,4,8,9
"990",1,1,3,4,10
